"","G","r","eps","T1","L","M"
"mu...1",62.811945322057,31.2202055835652,0.00028,5.2,0.231874468771216,0.118881540113727
"mu...2",62.7434690480636,31.1394538033858,0.00039,4.8,0.217883693222602,0.111358625540992
"mu...3",62.6508296900598,30.7255824878679,0.00253,4.4,0.207873643431632,0.105709437530553
"mu...4",62.7812946529467,30.4107535724874,0.0014,4.6,0.212730785104055,0.108357928308218
"mu...5",62.7157311543879,31.3888485532162,0.00048,4.9,0.223300996195843,0.114414477049544
"mu...6",62.7377406506685,31.1019124137797,0.01889,3.3,0.190115446142433,0.091976636502449
"mu...7",62.796356848431,31.1571259025823,0.00083,5,0.226101378482479,0.11579637001871
"mu...8",62.8124743641051,30.8419137470446,0.00028,4.9,0.223300995816622,0.114238257036182
"mu...9",62.8096339857553,30.9329378034137,0.00096,4.7,0.217883676766835,0.111241320929811
"mu...10",62.7422407285255,31.3211251763962,3e-05,5.1,0.226101370928295,0.11589624751823
"mu...11",62.6306674566437,30.8390673165951,0.01169,3.5,0.192494501851287,0.0947812139280678
"mu...12",62.6431478777594,30.9752943553252,0.00096,4.7,0.217883699207439,0.111536961885401
"mu...13",62.7064046460151,31.5135893840918,0.00096,4.7,0.217883692661154,0.111424447082667
"mu...14",62.7934737090972,30.4045226973234,0.01087,3.7,0.19557710729704,0.0972031550409772
"mu...15",62.6528695694259,31.5919078476672,0.00023,5,0.226101371908796,0.11606156737583
"mu...16",62.7993147301052,31.4894645093206,0.00022,4.8,0.217883694496841,0.111259597018376
"mu...17",62.722520283692,31.1728375554716,0.02023,3.2,0.189242359212952,0.0906832636211653
"mu...18",62.6675762308241,31.2420443454821,0.00056,4.7,0.217883684604761,0.111493486529235
"mu...19",62.6631444097049,30.5895489814603,0.02042,3.2,0.189242350056996,0.0907691911215675
"mu...20",62.7935716015327,30.6605966751949,0.00212,4.5,0.212730803070508,0.108336739660593
"mu...21",62.7412938440912,31.373776245953,0.00048,4.9,0.223301003116432,0.114367859729294
"mu...22",62.7219168011895,31.1638105518514,0.01613,3.4,0.191207229556168,0.0933189654568551
"mu...23",62.6852017759929,31.1455291415814,0.01389,3.5,0.192494536273031,0.0946987517725141
"mu...24",62.7239228522238,31.2219162041434,0.00119,4.8,0.217883681386606,0.111393329369462
