"","lambda","eps","T1","L","M"
"y1...1",0.0402551834337144,0.00137,4.7,0.216748703712428,0.111273648316796
"y1...2",0.0402854322937936,0.00069,4.9,0.22212956837669,0.114196407215367
"y1...3",0.039499312875215,0.00083,4.7,0.198912502633968,0.103064336583315
"y1...4",0.0403055848920495,9e-05,4.9,0.222141541556941,0.114150312688354
"y1...5",0.0397490527576686,0.00081,4.7,0.203130687892193,0.104850139317338
"y1...6",0.0412677612222089,0.01843,3.3,0.207793806315305,0.100524375302546
"y1...7",0.0413093539823575,0.00052,4.8,0.243957536959621,0.123698985707943
"y1...8",0.0403220651090769,6e-04,4.8,0.216787249470071,0.111124729530561
"y1...9",0.041036985067385,0.01929,3.3,0.20378107798662,0.0987076462447269
"y1...10",0.0422228213353029,0.02371,3.1,0.22196442977369,0.105078644263696
"y1...11",0.0415174658412737,0.00057,5,0.26096356967355,0.132344853129804
"y1...12",0.040157716915288,0.00058,4.7,0.21205716517366,0.108878683072092
"y1...13",0.0414182188347005,0.01034,3.6,0.213389464772381,0.1049374069105
"y1...14",0.0392948798553733,0.00084,4.7,0.194882472931551,0.101262238154896
"y1...15",0.0410714210515674,0.0114,3.6,0.208925160403231,0.10318808247278
"y1...16",0.039171589623148,0.0017,4.6,0.187140547963104,0.0970084966022315
"y1...17",0.040180104094124,0.00044,5,0.22483876061447,0.115963665814098
"y1...18",0.0411948464751779,0.00093,4.8,0.238071162618338,0.120736605419303
"y1...19",0.0401613028865612,0.00098,4.7,0.212059158176429,0.1088708159096
"y1...20",0.0423639958365319,0.00053,5.1,0.283582860324199,0.142234151202719
"y1...21",0.0395355923512992,0.00076,4.8,0.198930477209127,0.102987071729044
"y1...22",0.0393312715868226,0.00012,5.1,0.201445531048281,0.10494418515571
"y1...23",0.0413379783299464,0.00148,4.7,0.243977735083926,0.123631142707746
"y1...24",0.04256342959179,0.00271,4.4,0.262485678370825,0.130573535722293
"y1...25",0.0409160493833659,0.03092,2.9,0.196879986003588,0.0909935691188735
"y1...26",0.0413826060886293,0.01607,3.4,0.209495883676037,0.101861623572647
"y1...27",0.0401527255483681,0.00065,5,0.219838037772922,0.113228507062964
"y1...28",0.039715833557116,7e-05,5,0.210244037951074,0.108956450469469
"y1...29",0.0393821574645101,0.00028,5.1,0.205681593289135,0.107219843766633
"y1...30",0.0413529523163321,0.00172,4.6,0.237531645764253,0.120041643111853
"y1...31",0.0407024663281347,0.01342,3.5,0.199052545063383,0.0978934649482995
"y1...32",0.0391306350683648,0.00913,3.7,0.174668817212814,0.0880418381367234
"y1...33",0.0414646995191305,0.00023,5.2,0.261530086259773,0.132625586953367
"y1...34",0.041354824540053,0.00183,4.5,0.237532907417504,0.120037342003418
"y1...35",0.0396235971352116,4e-05,4.8,0.203066130215389,0.105120475514149
"y1...36",0.0404927933108433,0.01054,3.6,0.196834984181541,0.0975499243347257
"y1...37",0.0406176547076977,0.01526,3.4,0.197536864508818,0.0966434351675178
"y1...38",0.0409062786750885,0.00021,5,0.241670427006727,0.123392513889795
"y1...39",0.0390714687174995,3e-04,5,0.197273701119317,0.103213327165888
"y1...40",0.0412747539336905,0.02285,3.1,0.205199025907291,0.0974114625274299
"y1...41",0.0417423928167827,0.02289,3.1,0.213212479453533,0.101072425228086
"y1...42",0.0401018448139521,0.00228,4.3,0.202567165554757,0.10343479653103
"y1...43",0.0405962936371914,0.0151,3.4,0.193967371486359,0.0946224838172529
"y1...44",0.0420302370723727,0.00166,4.6,0.256218948481093,0.12856455072519
"y1...45",0.0395616391697736,0.00028,5.1,0.205774477138741,0.106821493536434
"y1...46",0.0394923101555189,0.03072,2.9,0.176663035142857,0.0815791434924151
"y1...47",0.042572667978469,0.01168,3.6,0.238643046035701,0.116443442906057
"y1...48",0.0413397805010894,0.01069,3.7,0.215537215847363,0.106688955440312
"y1...49",0.0406984731597891,0.00046,4.9,0.232788694159142,0.119063456092834
"y1...50",0.0391638814733367,0.00144,4.5,0.187137096699657,0.0970241586363488
"y1...51",0.0392080054518265,0.00011,5,0.201384086771172,0.105215027929437
"y1...52",0.0401496102060272,0.00102,4.6,0.207178295218202,0.106085606412563
"y1...53",0.0395025458366301,0.00187,4.6,0.19465254267685,0.100529175757692
"y1...54",0.0411687691166052,0.01808,3.3,0.203841165267001,0.0984573817632864
"y1...55",0.0418506605631678,0.00055,5,0.268158888872794,0.135327606141343
"y1...56",0.0383487947344455,6e-04,4.9,0.18043697381409,0.0952787017317952
"y1...57",0.0412924483082741,0.00183,4.5,0.237490646643902,0.120180900301356
"y1...58",0.0422468373122531,0.00264,4.6,0.263082048961003,0.131744923458404
"y1...59",0.0406241189991556,0.00117,4.8,0.226867559531215,0.116002340011393
"y1...60",0.040509660723578,0.00099,4.6,0.21639780065704,0.110392073227759
"y1...61",0.039429624511411,0.01832,3.2,0.176476333630207,0.0851822119850508
"y1...62",0.0399022363996322,0.00012,4.9,0.212381550416415,0.109704090201538
"y1...63",0.0403195064553681,0.00109,4.9,0.222149846614312,0.114118490879551
"y1...64",0.0408884195734294,0.01735,3.3,0.199968814370862,0.0968183650657904
"y1...65",0.0395873220750245,8e-05,5,0.210174949641123,0.109245006567545
"y1...66",0.0399310534468438,0.001,4.7,0.207489227939166,0.106867187216912
"y1...67",0.040825691690927,0.01795,3.3,0.199941330447845,0.0969364855421358
"y1...68",0.0400851963369495,0.00135,4.5,0.207143788776006,0.106223415090763
"y1...69",0.0409521052912846,0.01337,3.5,0.202989689589291,0.0996094379967183
