"","alpha","beta","eps","T3","L","M"
"time...1",0.157635316665403,2.1177578901464,0.00153,3.4,0.100114974859581,0.0943063600374922
"time...2",0.0716023014179065,0.852853240136546,0.00172,7.4,0.372614713015299,0.15463129791313
"time...3",0.0911970594333168,1.14872200540077,0.00168,5.7,0.230008515324574,0.123614161719254
"time...4",0.229366960280487,2.66384957890434,0.00106,2.7,0.089282911944093,0.106576833944353
"time...5",0.0862297169282806,1.06953110137491,0.00165,6.1,0.259199959551313,0.130881905906818
"time...6",0.0444552483940831,0.492006970991263,0.00236,11.6,0.911206281778292,0.238449333112507
"time...7",0.0891849739622641,1.04254017889427,0.00161,6.1,0.286696045152325,0.14296837743568
"time...8",0.229301258288072,2.63171289464677,0.00106,2.7,0.091430135955768,0.108035123676496
"time...9",0.181044283386344,2.41814834987406,0.00148,3,0.0858930944129181,0.0918436243883793
"time...10",0.225674197795047,2.51184381615088,0.00101,2.8,0.0999270903301,0.113442839719461
"time...11",0.074417526437336,0.952222180176095,0.0018,6.8,0.290913821444109,0.131469328784379
"time...12",0.114257652251925,1.22237378296708,0.00126,5.3,0.262305148581123,0.153594608671993
"time...13",0.0790456267555549,0.946526749155141,0.0017,6.7,0.317888282508609,0.144657111556311
"time...14",0.0528863949882651,0.620999650137065,0.00211,9.6,0.588629583110685,0.185337539548928
"time...15",0.0467268575609111,0.52902849774523,0.00232,10.9,0.783274566711238,0.21673608699608
"time...16",0.193135783046074,2.44046524181247,0.00136,2.9,0.0897163320143135,0.0974080547762829
"time...17",0.0444661805070408,0.521481334096851,0.00222,11.3,0.77635629490285,0.210383023772697
"time...18",0.146022147946776,1.84670351696465,0.0014,3.8,0.126555411762582,0.105604719810479
"time...19",0.108751619760996,1.36062749667947,0.00148,5,0.188765176813502,0.118692112428444
"time...20",0.0489788864208014,0.561947751074732,0.00223,10.4,0.703886533507373,0.204425463972611
"time...21",0.0925480236177435,1.12721229260182,0.00158,5.8,0.247262858584794,0.131388478498318
"time...22",0.139602096994949,1.52375243523536,0.00124,4.3,0.189021633758944,0.134877297696828
"time...23",0.0500050829674108,0.596315377205694,0.00216,10,0.61255647402668,0.185550121023354
"time...24",0.0444338758675212,0.54196804890454,0.00233,10.9,0.680775284154456,0.188879991228619
"time...25",0.146626440210923,1.80961143907392,0.0013,3.9,0.134302413538396,0.110362037810835
"time...26",0.00373924665079692,0.0468384332356361,0.01866,77.3,26.6299199777312,1.07514353843234
"time...27",0.0929542381897051,1.12143190296781,0.00149,5.9,0.25480498742652,0.135010536583078
"time...28",0.0375522156242244,0.436365301761917,0.00251,13.1,1.02906305042552,0.240337111508824
"time...29",0.167719341332012,2.02196637798986,0.00122,3.5,0.119956040336581,0.10976128021105
"time...30",0.0398338064134204,0.493665697236025,0.00244,11.9,0.767288610638724,0.195740963036912
"time...31",0.0507574959284239,0.660804148564467,0.00222,9.3,0.465306663773624,0.15121701754295
"time...32",0.084383606622552,0.945061876871103,0.00151,6.7,0.35157876301198,0.161876065666898
"time...33",0.117908096261027,1.65244617693416,0.00181,4.2,0.127735653113708,0.0946252061102305
"time...34",0.132486747515491,1.55538682644307,0.00135,4.3,0.169504435048396,0.121818922078251
"time...35",0.101864887388335,1.19741766900466,0.00143,5.5,0.239905531232448,0.135550383469682
"time...36",0.100802035727879,1.28149555058305,0.00162,5.2,0.19776545734374,0.117334617351333
"time...37",0.0589327590552876,0.706380048021631,0.00193,8.7,0.479844388743929,0.168313878203113
"time...38",0.0804997178651196,0.995769318785195,0.00169,6.5,0.286454720081347,0.13563553280991
"time...39",0.149196710921121,1.89786045403299,0.00141,3.7,0.121377569401821,0.103829425932732
"time...40",0.146630027562144,1.69278442548384,0.00125,4,0.155851926456422,0.12149771074772
"time...41",0.0223819109395317,0.29479455853191,0.0037,18.4,1.48384052210159,0.241565571170906
"time...42",0.114186897588188,1.59315505237256,0.00184,4.3,0.133717088918769,0.0957583943504111
"time...43",0.073130941513565,0.936634890304496,0.00181,6.9,0.297061733247966,0.132237178118487
"time...44",0.160169886997891,1.97941641425241,0.00136,3.5,0.118411348748361,0.105781639421736
"time...45",0.0899567650630326,1.03200873016564,0.00161,6.1,0.296368363278175,0.146953284889014
"time...46",0.0808534701116966,0.926503809524576,0.00161,6.8,0.348293450547985,0.156824771418911
"time...47",0.0741254199873536,0.871779804487538,0.00163,7.3,0.370521896463341,0.157208095266409
"time...48",0.191258400167778,2.32616720787943,0.00119,3.1,0.100252601154792,0.104597086705228
