"","G","r","eps","T2","L","M"
"mu...726",62.7094305827025,30.6251645625362,0.04622,40.9,25.6652126843667,13.2310153093737
"mu...727",62.7355342064929,31.2800412052665,0.05139,42.3,30.8719063857631,15.9085649638306
"mu...728",62.721789292836,31.005724089852,0.03035,43.2,34.7642232822876,17.9182376529996
"mu...729",62.6852835420538,31.2308273821746,0.04032,42.3,30.8719064036285,15.92131750053
"mu...730",62.7860399901525,30.7833032925021,0.05117,35.9,13.2693587088013,6.8323167286311
"mu...731",62.8196345157772,31.0746424511768,0.04731,39,19.9745401591643,10.2792766855927
"mu...732",62.8247271748991,31.079642756001,0.04236,45.8,48.9902776563942,25.2092804938965
"mu...733",62.7408110062064,31.3698746396192,0.03112,49.6,80.8809143525275,41.6751453717505
"mu...734",62.6570970385594,31.1510134086261,0.03371,44.7,42.3721999421838,21.8621033395022
"mu...735",62.6284717866328,30.852332638174,0.05875,33.2,9.29271585877497,4.79680472403051
"mu...736",62.8576229699939,31.9090716117602,0.061,32.5,8.47292514671856,4.35769274696258
"mu...737",62.7910130905807,30.914559960484,0.05089,37.2,15.7521057615234,8.11002649778392
"mu...738",62.6383229384385,31.0524068287438,0.04457,35.3,12.2594370906174,6.32720079120918
"mu...739",62.7334088682946,30.9074214711031,0.05045,39.4,21.0569944589627,10.8512225976784
"mu...740",62.7736658825838,30.7026697285402,0.04436,40.5,24.3458680622242,12.5380200721095
"mu...741",62.8090926659571,31.2966690333507,0.04533,40.3,23.7118516469541,12.2046164963481
"mu...742",62.816013210736,31.1586147462938,0.0526,36.1,13.6241597400207,7.01165477492892
"mu...743",62.7730379983123,30.7134688487113,0.03588,40.9,25.6652124670079,13.2176090962697
"mu...744",62.7059737167653,31.0364570639679,0.03226,46,50.3001985150889,25.9323541367201
"mu...745",62.7099380305893,31.2371603707914,0.05559,34.6,11.1779261099173,5.76243548268608
"mu...746",62.8085523726616,31.3579784420486,0.04291,39.7,21.9071599802393,11.2758284071224
"mu...747",62.735922673392,30.503706646328,0.07697,33.6,9.79630400604244,5.04809073237735
"mu...748",62.7628243113939,30.8254540022523,0.05409,33.7,9.92640886240905,5.11294173078247
"mu...749",62.7452388996563,31.2492769233675,0.03607,40.8,25.3288202564364,13.0501461427013
"mu...750",62.6788816357599,30.9849340512992,0.04631,36.6,14.5532240482353,7.50618333117403
"mu...751",62.7428234966466,31.4912643646558,0.03963,40.8,25.3288205886808,13.0506479355108
"mu...752",62.9229113329567,31.2484750509495,0.04398,41.9,29.2849073507486,15.0458320781053
"mu...753",62.7469405455986,30.9150094887393,0.04371,42.6,32.1183434191965,16.5478580738
"mu...754",62.6725367433719,30.8618221372027,0.05471,35.8,13.0954379662458,6.75497799644862
"mu...755",62.6825000118974,31.4187714248999,0.04602,38.1,17.7381243004574,9.14834608035124
"mu...756",62.8556053256999,30.828674813997,0.04249,40.4,24.026769362861,12.3575532136421
"mu...757",62.7418844077122,31.0716839328829,0.05079,37.2,15.7521052702813,8.11637766150371
"mu...758",62.7562289881319,31.2178082307809,0.05008,37.4,16.1732914314292,8.33149116250424
"mu...759",62.6812139801556,31.0494646060112,0.04794,43,33.8588916507219,17.4629048506371
"mu...760",62.6593366240305,30.6967289814523,0.03854,41.7,28.5222675677838,14.7156506692109
"mu...761",62.7491923039031,31.0722292294222,0.05027,36.5,14.3624763770939,7.39949934295435
"mu...762",62.7647635763475,31.2636411558027,0.06234,33.7,9.9264085887025,5.11278413140762
