"","G","r","eps","T4","L","M"
"mu...1",62.654737716765,31.0016302680324,0.01065,50.8,93.5136345641432,48.2505390310531
"mu...2",62.6813847220814,31.1187253154032,0.0108,50.7,93.5136342128302,48.2300276786039
"mu...3",62.6553127277543,31.3239615958429,0.01094,50.6,92.2879584031084,47.6176889284858
"mu...4",62.7208860337192,31.1275003285731,0.01095,50.6,92.2879586696778,47.5679023915893
"mu...5",62.6954777457349,31.7799367447555,0.01095,50.6,92.2879582384541,47.5871821556513
"mu...6",62.8212410600958,31.3238706027833,0.01069,50.8,93.5136347152239,48.1226595617528
"mu...7",62.8394567268853,30.8474125367581,0.01098,50.6,92.2879585122799,47.478148707796
"mu...8",62.5666081578505,31.0254349261169,0.01077,50.7,93.5136344281579,48.3185100294582
"mu...9",62.6858121397303,31.1643149477518,0.0108,50.7,93.5136346607343,48.2266222541159
"mu...10",62.7195523651696,30.6540316168947,0.01095,50.6,92.2879588562451,47.5689213075543
"mu...11",62.7298269933299,31.150243052022,0.01081,50.7,93.5136346551793,48.1927850181039
"mu...12",62.7793790005286,31.5855647346407,0.01097,50.6,92.2879579606728,47.5235878852076
"mu...13",62.7000379908274,31.2423396377909,0.01095,50.6,92.287958184518,47.5837208069218
"mu...14",62.821579347137,31.411344901711,0.01069,50.8,93.5136347395373,48.1223960187892
"mu...15",62.7189545635412,30.9271141091576,0.01095,50.6,92.2879583281979,47.5693712366362
"mu...16",62.7295438779251,30.9348618196092,0.01081,50.7,93.5136341833171,48.1929970482941
"mu...17",62.7031839177402,31.5616325446477,0.01095,50.6,92.287958521148,47.5813402271212
"mu...18",62.7959906256806,30.8591577711685,0.01097,50.6,92.287957813093,47.5110144865811
"mu...19",62.74959012389,30.9561995789315,0.01096,50.6,92.2879590366967,47.5461452426806
"mu...20",62.7875957735762,31.0645536674689,0.01097,50.6,92.2879576854413,47.5173664246058
"mu...21",62.8465050893554,30.9508987117816,0.01098,50.6,92.287958870075,47.4728239461416
"mu...22",62.7482551075963,30.948882449139,0.01096,50.6,92.2879579606657,47.54716015912
"mu...23",62.6888273016679,31.1962585403151,0.0108,50.7,93.5136343490699,48.2243042734501
"mu...24",62.7918573859465,30.7244410056753,0.01097,50.6,92.287958662427,47.5141416510349
"mu...25",62.6806157764323,30.8449662234565,0.01094,50.6,92.2879580814528,47.5984663730352
"mu...26",62.807286991892,31.0047663746199,0.01083,50.7,93.5136349370741,48.133347820039
"mu...27",62.7076005583332,31.2119154617265,0.01095,50.6,92.2879578947109,47.5779833791414
"mu...28",62.7547074985977,30.573339996636,0.01096,50.6,92.2879588152031,47.5422783752167
"mu...29",62.7459830975741,31.1829578574783,0.01096,50.6,92.2879584361623,47.5488820350205
"mu...30",62.7651643981069,31.136900045883,0.01082,50.7,93.5136344537359,48.1656502556543
"mu...31",62.6266253336939,31.2646237919048,0.01093,50.6,92.2879581575723,47.6394966054794
"mu...32",62.8420460790058,30.9169498226964,0.01098,50.6,92.2879584348402,47.476190209345
"mu...33",62.6681982462102,31.383547190727,0.01094,50.6,92.2879590792427,47.6079011348233
"mu...34",62.7339524190248,30.7141813461033,0.01081,50.7,93.5136343287464,48.1896156849483
"mu...35",62.8274242645996,31.1835291449019,0.01098,50.6,92.2879588516963,47.4872423488111
"mu...36",62.7420729853365,31.3925090578125,0.01096,50.6,92.2879584494736,47.5518422199522
"mu...37",62.6765095138375,30.9895560935161,0.01094,50.6,92.287958607483,47.6015875003256
"mu...38",62.6495659384991,30.7084530162855,0.01079,50.7,93.5136354318241,48.2545225403691
"mu...39",62.6579332826527,30.5518598807933,0.01079,50.7,93.5136345860889,48.2480853855184
