"","lambda","eps","T3","L","M"
"time...1",0.0423506572347486,0.00136,5.9,0.32569836270905,0.163838183339708
"time...2",0.0401466213508668,0.00165,6,0.2491948455005,0.128907495696865
"time...3",0.0393545942557377,0.00172,6.1,0.228934439612834,0.119801378486219
"time...4",0.0396140747314757,0.00172,6,0.237120609008925,0.123733300575855
"time...5",0.0408366477111937,0.00158,5.9,0.272989075000381,0.140082750202068
"time...6",0.041047544282866,0.00154,5.9,0.280621425310281,0.143619266842876
"time...7",0.0393618966793642,0.00172,6.1,0.228938515491683,0.119783011456602
"time...8",0.0402361637835035,0.0016,6,0.255544168296724,0.132167703003845
"time...9",0.040723227101261,0.00153,6,0.269410407207262,0.138343454083848
"time...10",0.0405189253032505,0.00157,6,0.26233746935106,0.1350692406862
"time...11",0.0391238759573034,0.00184,6,0.221083103125486,0.116107191701255
"time...12",0.0390269285794793,0.00184,6,0.22103181325014,0.116346231739549
"time...13",0.0401942431054772,0.0016,6,0.255515236417125,0.132279441598471
"time...14",0.0407221865318862,0.00153,6,0.269409637871879,0.138346290172733
"time...15",0.0408608679325159,0.00158,5.9,0.273008062808997,0.140016326870065
"time...16",0.0414579054524398,0.00151,5.9,0.288826153470659,0.146791132203303
"time...17",0.0400710228738143,0.00156,6.1,0.252343691314639,0.130785275999677
"time...18",0.0397905783483171,0.00168,6,0.242962750251921,0.126487860314164
"time...19",0.0411103476948999,0.00154,5.9,0.280673110244693,0.143444564902625
"time...20",0.0405714468140229,0.00157,6,0.262375423819646,0.1349281529643
"time...21",0.0408562828002395,0.00158,5.9,0.273004460757884,0.140028896793242
"time...22",0.0410355695832997,0.00154,5.9,0.280611580006069,0.143652635391567
"time...23",0.04039155460455,0.00156,6,0.262245401068229,0.135412914561324
"time...24",0.0406715200457969,0.00153,6,0.269371219904931,0.138484750144771
"time...25",0.0409275217049951,0.00158,5.9,0.273060310887946,0.139833935642228
"time...26",0.0408989172180712,0.00158,5.9,0.273037897600168,0.13991213403849
"time...27",0.0404942277879771,0.00157,6,0.262319612016261,0.135135712683581
"time...28",0.0400021263194433,0.00164,6,0.249099660430807,0.12928628616273
"time...29",0.0405520318859064,0.00157,6,0.262361391727202,0.134980264960374
"time...30",0.0400261071587105,0.00164,6,0.249115468996403,0.129223230349967
"time...31",0.039583572602473,0.00172,6,0.237102216724969,0.123811516792648
"time...32",0.0401468425257768,0.00165,6,0.249195007962178,0.128906914439709
"time...33",0.0412721302976341,0.0015,5.9,0.288665577860184,0.147314191858795
"time...34",0.0398262203942046,0.00168,6,0.242985221667737,0.126395340217165
"time...35",0.0404721942182377,0.00157,6,0.262303683355404,0.135195082734298
"time...36",0.0411239022498387,0.00154,5.9,0.280684275089765,0.1434069274413
"time...37",0.0405547195509618,0.00157,6,0.262363347242561,0.134973044954619
"time...38",0.0415834821669304,0.00147,5.9,0.297219974056373,0.150971491449612
"time...39",0.0382740472456444,0.00189,6.2,0.202708521787115,0.107857117575256
