"","alpha","beta","eps","T4","L","M"
"time...1",0.0787803662542427,1.05469077503119,0.01057,57.1,103.588649794084,51.0274153986951
"time...2",0.100553582484359,1.18451960214653,0.01083,47.7,85.1584428750648,47.6826668063828
"time...3",0.152051874624953,1.66416617058479,0.01066,41.8,59.5446928112503,46.1627997753992
"time...4",0.0412681614527637,0.517097302424467,0.0109,58.4,157.830297067887,41.8035890919403
"time...5",0.00788399114544373,0.0968853728547048,0.01658,91.5,297.915417546022,20.7717345152461
"time...6",0.0440440993913206,0.507497013049559,0.01088,53.2,152.429871982986,40.5491019479565
"time...7",0.140294992412084,1.65872214617568,0.01083,46,62.7674716196424,47.9306487337697
"time...8",0.0477252570523394,0.614425911207893,0.01087,58.5,144.335674246483,44.1343340809981
"time...9",0.0934098841179161,1.14273701095628,0.01088,50.2,89.3489174020199,48.0974660485629
"time...10",0.0992767997130078,1.20808415203378,0.01091,49.5,84.7782473036616,48.0636533819307
"time...11",0.0662014248887861,0.784639510471439,0.01086,50.9,116.92580834497,45.1361101681493
"time...12",0.225075573510693,2.5973436444009,0.01082,42.3,37.0460912159112,43.3227355776187
"time...13",0.0666484615542161,0.821479090037004,0.01073,53.1,117.194384511559,46.7536150875453
"time...14",0.115909642418682,1.42514219775793,0.01087,49.2,74.0595375573926,48.8131571592446
"time...15",0.08184626371358,1.02926655529394,0.01083,52.7,99.2315579382526,48.3261013441107
"time...16",0.0836535976186795,0.940589904229757,0.0107,46.6,100.900285482807,46.263367315901
"time...17",0.0317439576439723,0.363363825434786,0.01101,56.8,182.266127239346,36.7066349792593
"time...18",0.182561102264701,2.22804682151387,0.01078,46.4,47.1346720751577,47.2940375386396
"time...19",0.114007397930394,1.41644685312515,0.01116,49.7,73.0001646742804,47.7643551555525
"time...20",0.0917409673201146,1.24177052313582,0.01127,56.3,85.5767589114875,48.9056467178134
"time...21",0.0392784678880016,0.439939448630426,0.01091,53.1,162.911818017905,38.6928654204297
"time...22",0.0374687763786604,0.409628100923949,0.01084,52.6,168.533219826846,37.9632516040827
"time...23",0.0368542132910014,0.454379183836785,0.01066,59,172.74711773645,41.1265998612988
"time...24",0.231359024855904,2.71183106260274,0.01092,42.9,35.7327431524568,43.4525153326802
"time...25",0.054599590407291,0.678348293356755,0.01103,55,130.581665410482,43.8901972801052
"time...26",0.17656659006307,2.23696429363149,0.011,48.6,47.1953457815181,47.3019526467484
"time...27",0.0897617752429333,0.99968712548503,0.0108,45.6,94.8684704379665,46.025685059593
"time...28",0.0524906926929013,0.637859733028787,0.01065,54.4,137.337829096174,43.9469564924803
"time...29",0.0918275384159672,1.16392751998853,0.01058,52.6,92.4434090063463,50.3026208569969
"time...30",0.131686263268361,1.78677594864986,0.01094,54.6,63.1337648857339,50.6863058674514
"time...31",0.15801112142289,2.02967461688515,0.01089,50.1,53.571693224752,48.8733127934077
"time...32",0.0857589741133132,0.993227714487882,0.01118,47.6,94.1791646554145,45.0862051440479
"time...33",0.0998586061426702,1.2182228409035,0.01092,49.6,84.2410874415454,48.1061019124261
"time...34",0.0446954303526442,0.622669819270604,0.01092,64.3,149.447388236388,45.4653575358375
"time...35",0.113283236595838,1.28656103019651,0.01068,45.2,78.6746881955815,47.8133093794697
"time...36",0.0754626262302366,0.939795521473176,0.01082,52.7,105.899767141838,47.5784733770805
"time...37",0.0815200660955251,0.972889922687924,0.01106,49.6,98.4251977253708,45.987337492679
"time...38",0.0597983196451871,0.732720914182807,0.01079,53.6,125.743954763763,45.3715710113605
"time...39",0.0912247794683416,1.08758827029322,0.01091,48.9,91.3472793989332,47.2200384785829
"time...40",0.146325193656782,1.85043163032358,0.01112,49.4,57.2044753565432,47.9259915076316
"time...41",0.092468694084104,1.04485534374303,0.01113,45.9,89.6046670267013,45.111133703875
"time...42",0.0482505578793945,0.570636871791831,0.01113,53.4,138.919617583965,40.6063645427424
"time...43",0.200700580860689,2.31515929534721,0.01076,42.9,43.4105158537908,45.5153718157759
"time...44",0.0808283017786891,0.982945095419063,0.01062,51,102.820549107722,48.3193621089699
"time...45",0.0891880120493172,1.12386955652673,0.01049,52.5,95.6074844251115,50.4315937170069
"time...46",0.0345502375350665,0.439821088288828,0.01109,61.3,172.548174230899,39.6370091477161
"time...47",0.0480114322080215,0.633384232139505,0.01095,59.9,142.555114558423,44.534322530816
"time...48",0.143046301027317,1.7080212731672,0.01103,46.3,59.3885141863849,46.5382443504633
"time...49",0.246466000491366,3.03740818366038,0.0106,45.5,33.1008697744727,44.5907920690567
"time...50",0.108608404165322,1.38460871010379,0.01104,51.6,76.5635758153427,48.8536570922895
"time...51",0.0782626063544667,1.04014670455134,0.01104,56.3,99.8149321160169,48.6080494663731
"time...52",0.0783096035754535,1.00019550578891,0.01102,53.8,100.655378632084,47.6276501154536
"time...53",0.112142289225913,1.35870084514875,0.01066,48.7,78.1289801604534,49.3863175941592
"time...54",0.144081858722382,1.70111726918661,0.01096,45.7,60.430328463436,47.2557445737696
"time...55",0.0468237986564374,0.553731185375479,0.01086,53.9,145.113865402962,41.3323520230364
"time...56",0.149444225122156,1.73305231748177,0.01059,44.8,59.8038752777436,47.7147159427326
"time...57",0.161379482859864,2.05103601341916,0.0108,49.4,53.0197143408182,48.9206882124807
"time...58",0.232904981492084,2.85012853551874,0.01091,45.2,34.7150962336111,44.0331287884218
"time...59",0.0991067228992861,1.19080372377896,0.01077,48.9,86.2715141289229,48.3738977165506
"time...60",0.203273710281494,2.22002180921958,0.01104,40,42.6984812966033,43.3616919386132
"time...61",0.107537373259305,1.30040618789609,0.01057,48.9,81.814586707577,49.6824198670393
"time...62",0.0319266396209339,0.378258297377684,0.01082,58.6,184.94381221773,38.1384074960449
"time...63",0.10869933793836,1.27156370703972,0.01093,46.8,77.9877775769297,46.6516586489695
"time...64",0.0647323452959088,0.816108578609087,0.01079,54.6,118.616608369626,46.8356083230583
"time...65",0.110078685616233,1.27710848417452,0.01092,46.3,77.3473014600852,46.5190785972103
"time...66",0.0195223862567123,0.252423764951416,0.01154,71.2,231.189582228159,33.3414589569061
"time...67",0.0202658055413572,0.274165384666822,0.01174,73.1,221.652241145345,33.7331943648919
"time...68",0.15106471744429,1.89601707235677,0.01065,49.1,57.9472697839042,49.7264161280629
"time...69",0.155015845370656,2.08440881078076,0.01081,53.2,54.1159145616616,50.3316855075386
"time...70",0.0488585297185679,0.577733787251453,0.01095,53.4,140.130251043607,41.4012318472814
"time...71",0.0695495580382087,0.825058243731472,0.01081,50.6,113.426316220337,45.7746266502574
"time...72",0.191009213851246,2.39752201479347,0.01061,47.9,44.9082792588014,48.1355249815647
"time...73",0.01595969366068,0.214119538779828,0.01221,77.4,248.248256710122,30.9836859449936
"time...74",0.0922079096813703,1.08576782770846,0.01086,48.2,91.2154237357291,47.1854985474302
"time...75",0.256367807166183,3.16973703328297,0.01087,45.3,30.1740001450819,42.3326456955953
"time...76",0.145422428340229,1.76953022952709,0.01112,47.2,58.3842802687739,47.1601192300358
"time...77",0.140946384513655,1.70921499823877,0.01108,47.2,60.5312463840671,47.3554496088927
"time...78",0.159275019750602,2.04712138311678,0.01088,50.1,53.1423494312114,48.8723441671497
"time...79",0.050530221005795,0.596649781151389,0.01081,53.1,140.732353828021,42.768227355701
"time...80",0.152131444379486,1.94202606262616,0.01063,50.1,57.2701887967782,50.1531623582802
"time...81",0.129106181209562,1.5255091199012,0.01086,46.4,67.8677562361158,47.9462357463464
"time...82",0.120211175470018,1.48440971040969,0.01093,49.2,71.1239216154798,48.6524098634113
"time...83",0.121949910331954,1.501505415161,0.01086,49,70.6995099603523,48.9016078606092
"time...84",0.038887868343862,0.488408009947608,0.01092,59.2,163.336097678085,41.1688693995604
"time...85",0.0538226073640438,0.688125698614046,0.01079,57,134.444171510387,45.4865259438135
"time...86",0.00563949398975497,0.0676222718868334,0.02148,103.9,333.77662582314,18.0123638303966
"time...87",0.109477530782757,1.24952929821715,0.01076,45.6,80.3684345161999,47.5136140472137
"time...88",0.0831310770648494,1.06145564691792,0.01071,53.6,98.8266159358481,49.3658502385518
"time...89",0.17645274729644,2.23436861742441,0.01096,48.6,47.4170813744158,47.4749617456064
"time...90",0.0502572961148945,0.603038069120344,0.01068,54.1,142.723638062581,43.6147746706769
"time...91",0.0705858808399398,0.785711559310988,0.01092,47.2,112.160238952683,43.9229609291787
"time...92",0.168206567480432,2.09932354280621,0.0108,48.1,51.0603356930729,48.2793418511901
"time...93",0.0882487836311331,1.0200065714254,0.01104,47.4,93.3273597546399,45.7804043733236
"time...94",0.1071260946418,1.29570566059495,0.01062,48.9,81.6996037819653,49.4457608983625
"time...95",0.151787993249841,1.81553948659425,0.011,46.1,56.8381722541665,47.1476437259416
"time...96",0.176594333313759,1.9167443496834,0.0109,40.5,50.7630314960072,44.9513644351854
"time...97",0.0823446329954617,0.970772929627123,0.01088,49,99.5409590603358,46.5247560172439
"time...98",0.111734759372421,1.3065056744505,0.0108,46.7,78.141198144948,47.9246506237414
"time...99",0.115286384576412,1.34251053008187,0.01096,46.2,74.9656433001009,47.1731486461966
"time...100",0.0854427133257832,1.05161104047807,0.01091,51.1,95.6280834662159,47.6718728821911
"time...101",0.0569458136828394,0.792546621299238,0.01112,61.8,124.668622829284,47.0490446715781
"time...102",0.189946361809465,2.21040672222537,0.01081,43.6,45.8578727832139,45.9643419842111
"time...103",0.0811651954552368,0.883132151220913,0.01062,45.3,103.120007118802,44.9952731187967
"time...104",0.0864834176670575,1.0801234686566,0.01115,51.7,92.392734878651,47.0726775225569
"time...105",0.146811811732554,2.17081281430473,0.01098,60.3,54.4881387014577,52.073551468556
"time...106",0.0792752063487079,0.927384392357382,0.01067,49,104.630183612567,47.0040666887772
"time...107",0.169949570486139,2.1944989903838,0.0108,50.1,49.7672554855511,48.8593875755706
"time...108",0.0823707354273042,0.962950916246116,0.01096,48.5,98.9202228850379,45.9726579160666
"time...109",0.142378154690582,1.53575289408863,0.01129,41.1,61.2103381208196,44.160291829289
"time...110",0.0402645069832588,0.47418973755632,0.01102,55.2,158.658598689898,39.6220663318459
"time...111",0.0570333628326386,0.700316910480726,0.01096,54,127.80100478886,44.2888884885911
"time...112",0.188835498387904,2.20463720857919,0.01097,43.7,45.4259275592834,45.3985615700587
"time...113",0.0576843977588567,0.717393052652605,0.01073,54.8,129.392794042644,45.6819463213988
"time...114",0.148255886396025,1.7926612098304,0.01088,46.9,58.6366158480174,47.9883413496292
"time...115",0.0911579931494011,1.14375032514578,0.01105,51.7,89.2412378861474,47.8702713746784
"time...116",0.193628563365443,2.15242368511547,0.01118,41,44.2534671499058,43.5384776508105
"time...117",0.0513280077037943,0.602440281891486,0.01072,52.7,140.521727316896,43.1226940387124
"time...118",0.0803655651142871,0.874060868298964,0.0107,45.3,103.131297569713,44.5937213462728
"time...119",0.0827446568851926,0.987825521650848,0.01094,49.6,98.3997458024511,46.6089221326525
"time...120",0.072938345935955,0.893052262557893,0.01078,52,109.326539857961,47.0634827258497
"time...121",0.0278715044438355,0.322761842024661,0.01086,59.4,198.802120238547,36.2031296874728
"time...122",0.0682915715765488,0.822877826081458,0.01107,51.4,111.953758114377,44.932834239666
"time...123",0.175801545832525,2.28777665318176,0.01067,50.5,48.3402379002177,49.326814681476
"time...124",0.148598747774376,1.95267717070738,0.01126,51.6,54.8163871769963,48.0660722159578
"time...125",0.0927834094098986,1.22163623478221,0.01087,54.7,88.449309571811,50.0076870329065
"time...126",0.0411998970004547,0.521606237778929,0.0108,59.1,159.378218741245,42.4267222756759
"time...127",0.0651260220113717,0.777639227222669,0.01104,51.3,114.73120874853,43.8714216727073
"time...128",0.0660413465038011,0.888366129035291,0.01095,58.4,114.236543965932,48.0927072503713
"time...129",0.0136823663399728,0.156518191000508,0.01167,72.9,277.609847803364,28.6342426016059
"time...130",0.16314814120464,1.89831184361458,0.01061,44.5,55.2210549207661,47.9558772332453
"time...131",0.0613930466079389,0.769781822352616,0.01093,54.6,121.613649375094,45.6292224114052
