"","x"
"471",11
"472",6.9
"473",16
"474",22.6
"475",45.5
"476",28.8
"477",2.8
"478",36
"479",17
"480",15
"481",18.4
"482",59.1
"483",60.3
"484",90.3
"485",38.9
"486",36.2
"487",38.2
"488",9.9
"489",16.8
"490",64.7
"491",5.5
"492",5.6
"493",2.3
"494",6.1
"495",8.4
"496",41.5
"497",45.7
"498",6.8
"499",46.2
"500",8.3
"501",93.1
"502",15.3
"503",22.7
"504",14.3
"505",17.1
"506",87.8
"507",33
"508",17.3
"509",35.3
"510",20.8
"511",40.9
"512",7.9
"513",37.4
"514",11.8
"515",101.1
"516",35.6
"517",6.3
"518",76.5
"519",34.5
"520",26
"521",4.4
"522",7.8
"523",40.8
"524",67.5
"525",12.7
"526",30.8
"527",25.9
"528",8.7
"529",57.1
"530",34.8
"531",8.6
"532",23.4
"533",47.3
"534",28.7
"535",42.4
"536",15.5
"537",1.3
"538",78
"539",27.5
"540",51.2
"541",9.6
"542",46.1
"543",7.4
"544",40.7
"545",39.6
"546",54.3
"547",15.5
"548",29.5
"549",11.3
"550",9.7
"551",49.7
"552",17.7
"553",85.8
"554",2.6
"555",20.1
"556",54.7
"557",3.9
"558",84.3
"559",18.3
"560",31.9
"561",19.4
"562",23.2
"563",3
"564",7.5
"565",11
"566",10.4
"567",2.4
"568",58.6
"569",12.6
"570",151.6
"571",25.7
"572",9.3
"573",39.8
"574",4.5
"575",20.6
"576",71.4
"577",79.8
"578",31.6
"579",8.3
"580",17.1
"581",16.6
"582",69.2
"583",30.7
"584",4.6
"585",4.7
"586",9.2
"587",2.4
"588",7.6
"589",58.6
"590",9
"591",13.7
"592",18
"593",22.2
"594",4.1
"595",6.2
"596",26.2
"597",3.9
"598",26.8
"599",0.5
"600",15.2
"601",5.1
"602",69.7
"603",2.9
"604",78.6
"605",61.6
"606",52.6
"607",25.5
"608",19.5
"609",24
"610",32.3
"611",55.2
"612",8.5
"613",9.3
"614",16.3
"615",89.9
"616",2.7
"617",14
"618",27.5
"619",3
"620",13.5
"621",79.4
"622",11.1
"623",7.3
"624",32.1
"625",80.3
"626",11.7
"627",1.4
"628",50.2
"629",10.1
"630",15
"631",4.9
"632",22.7
"633",15.6
"634",5.4
"635",11.1
"636",22.1
"637",18.3
"638",4.2
"639",36.7
"640",36.2
"641",12.1
"642",10
"643",3.6
"644",9.7
"645",20.7
"646",26.8
"647",10.6
"648",44.3
"649",8.1
"650",68.9
"651",72.1
"652",2.9
"653",37.8
"654",44.4
"655",2.8
"656",14.3
"657",181.7
"658",5.5
"659",72.3
"660",9.7
"661",1.4
"662",27.2
"663",15.9
"664",34.6
"665",1.1
"666",2.6
"667",12.9
"668",83.8
"669",8.6
"670",56.1
"671",18.9
"672",129.2
"673",69.6
"674",8.7
"675",71.5
"676",21.7
"677",37.8
"678",26.6
"679",30.9
"680",20.6
"681",12.2
"682",10.1
"683",61.3
"684",33
"685",37.8
"686",13.6
"687",4.9
"688",5.2
"689",25.4
"690",14.8
"691",6.3
"692",15.1
"693",17.6
"694",54.5
"695",29.5
"696",16.4
"697",6.1
"698",38.6
"699",19.8
"700",35
"701",16.4
"702",7.2
"703",4.7
"704",5.9
"705",41.9
"706",4.6
"707",25.7
"708",20.4
"709",11.8
"710",20.8
"711",26.3
"712",17.9
"713",47.7
"714",6.8
"715",48.9
"716",11.3
"717",44.9
"718",78.3
"719",75.5
"720",27.5
"721",11.6
"722",6.7
"723",85.6
"724",11.7
"725",2.9
"726",33.5
"727",7.1
"728",13.6
"729",62.4
"730",14.7
"731",27.7
"732",114.4
"733",7.8
"734",12.3
"735",2.7
"736",18.6
"737",4.8
"738",28.1
"739",69.7
"740",32.9
"741",12.1
"742",19.6
"743",25.2
"744",20.5
"745",27.2
"746",4.2
"747",4.1
"748",26
"749",31.5
"750",22.9
"751",22.2
"752",15.5
"753",31.6
"754",16.8
"755",51.6
"756",37.3
"757",3.4
"758",8.8
