"","V1"
"1",23.0761570872236
"2",16.0495823643922
"3",7.93267919629579
"4",3.25637754780457
"5",41.8960387222865
"6",15.0114637065216
"7",4.44148438485538
"8",36.2449091682253
"9",95.1280607857907
"10",31.9026406101222
"11",16.9336902463007
"12",35.9968638174572
"13",0.587161394217269
"14",35.7254357036095
"15",1.51401624052627
"16",22.0488174786271
"17",82.8682501710497
"18",24.3362667831841
"19",14.8286373065096
"20",2.62795310700603
"21",24.4743518000871
"22",5.32003982889867
"23",41.5411369007241
"24",10.1901334429495
"25",42.2666020036074
"26",2.91351856784805
"27",51.2955127106631
"28",46.7773723409123
"29",15.6147487590944
"30",38.4520365775635
"31",8.82787361141106
"32",10.7959369955315
"33",32.3946815833484
"34",7.84606285312427
"35",27.4938458765965
"36",59.8630713200492
"37",52.8767050090446
"38",33.9734612522912
"39",38.5239773658323
"40",1.92300621751893
"41",33.3716449905211
"42",46.205702016651
"43",30.319959574897
"44",52.4290546260632
"45",21.9211178492496
"46",9.77585250428221
"47",98.1723816469282
"48",38.1641200745389
"49",9.26522175444907
"50",12.4342902203376
"51",28.7194594267246
"52",15.5268311520196
"53",21.5191771442579
"54",55.098514994994
"55",14.997397678031
"56",34.724759179044
"57",11.1694495303366
"58",31.8664706568704
"59",30.8729873330676
"60",54.073345805903
"61",9.8859520200464
"62",16.0303716875074
"63",19.7738931275071
"64",0.660227573729438
"65",19.7675669371449
"66",34.9420305968255
"67",6.46322723209074
"68",13.5073707973709
"69",64.4586351079229
"70",29.9275584957629
"71",8.6561991100013
"72",29.7897960788955
"73",28.9659173745368
"74",12.7092919479658
"75",13.1857093916952
"76",40.2119971336857
"77",4.37465234816217
"78",15.8046902649023
"79",110.92231719216
"80",5.46656222813966
"81",11.7281969843522
"82",65.9004744362645
"83",9.71876373399012
"84",5.22850592050354
"85",50.1331922055636
"86",5.62330292217761
"87",40.7207363063694
"88",1.75252263217857
"89",29.2674205763988
"90",82.7850127890437
"91",20.390443946097
"92",62.3825746247646
"93",16.3613691100908
"94",46.6307888960995
"95",22.0872897496641
"96",7.73716298587859
"97",29.1053125049748
"98",27.1999938526345
"99",6.95308200611152
"100",58.4419067926236
"101",62.4658027053534
"102",1.92994138440614
"103",60.6087336370002
"104",57.2177071225884
"105",6.39731528352964
"106",10.4974572941586
"107",40.1189272950234
"108",2.66051166372373
"109",28.7751725716876
"110",52.6047738431762
"111",26.2490141343807
"112",6.34986080301652
"113",68.0266904397133
"114",38.1289531306336
"115",34.6887175778887
"116",1.50541136422029
"117",54.8985451624696
"118",7.03093987327972
"119",28.1472518862812
"120",10.3938368430923
"121",11.5477965179596
"122",102.003258804443
"123",82.9614265244402
"124",17.8718155572291
"125",73.8573710232736
"126",67.5957623483773
"127",52.916043210209
"128",3.35101875471372
"129",31.9666773329142
"130",5.11979763696333
"131",54.2005415725348
"132",9.95048467583153
"133",3.24578265188402
"134",47.6522044991513
"135",27.3824642139651
"136",48.3732879940694
"137",82.1441458537311
"138",22.8324662174769
"139",10.1075028388416
"140",3.02010215691057
"141",2.72524686703247
"142",78.2489708603713
"143",1.56165813761743
"144",24.5587731394824
"145",6.4802482742981
"146",34.2020945326727
"147",48.0315143551544
"148",20.8426859361887
"149",52.9796153486708
"150",10.0724610839332
"151",14.2808257209837
"152",37.5052169824125
"153",18.4318083685106
"154",14.5248618241181
"155",13.3806078261415
"156",26.5633161148012
"157",34.4491191817088
"158",7.99069151833224
"159",31.5940038701942
"160",10.1992389360912
"161",10.5862483122935
"162",29.126778024483
"163",13.770785313854
"164",9.97570364402637
"165",6.52009014719365
"166",13.4303716589287
"167",86.2442884744665
"168",12.9350637804427
"169",8.90419695670233
"170",10.0211673013476
"171",27.9453885108245
"172",31.4931898334081
"173",17.6201104683279
"174",40.5827215481899
"175",40.4416271411494
"176",12.3057694857355
"177",10.7838868147138
"178",21.6762246671018
"179",3.25519088426963
"180",6.05092753796888
"181",12.7238806264516
"182",26.7235872270624
"183",14.9865498232717
"184",3.34941994293895
"185",78.9036616245812
"186",20.8868902740688
"187",0.810719660341168
"188",23.963931185162
"189",53.1217878966593
"190",61.4594449596382
"191",13.6260693414218
"192",17.4110958491253
"193",5.43319286442575
"194",44.0258842561485
"195",4.87668109991873
"196",16.1855033612547
"197",25.5695813880799
"198",28.1994865507338
"199",3.95036278247321
"200",25.9038562390312
"201",13.8820471613198
"202",32.1895515601868
"203",38.9497060658233
"204",20.1853260226874
"205",12.2748365802808
"206",46.5080855239013
"207",9.45020259570998
"208",62.9587609666414
"209",31.8570678507899
"210",10.9700723345106
"211",102.72264049254
"212",27.0014045946386
"213",28.3263428314252
"214",50.25259488107
"215",18.7506604452673
"216",22.9277813748173
"217",15.6211109226435
"218",43.9874355512389
"219",19.7884294474929
"220",43.8787176715228
"221",22.1781084072467
"222",4.31102415992849
"223",25.0224148866277
