"","x"
"1",60.986948903375
"2",53.2681533466301
"3",38.258376621689
"4",41.1403570990571
"5",22.6674879909823
"6",33.8058343642534
"7",32.595130671216
"8",73.727906330287
"9",31.8906681812529
"10",92.135128731014
"11",79.5716061020844
"12",148.939176100235
"13",25.0306467489155
"14",48.7669045727431
"15",57.0602407383093
"16",45.0749325691325
"17",15.7905091168471
"18",81.2896892036838
"19",34.5880856111151
"20",31.6394099342754
"21",78.2512510388669
"22",24.7669220445014
"23",39.3470149921351
"24",42.3642968521726
"25",30.55718895604
"26",41.2567184222522
"27",77.8047529408651
"28",20.7880666019998
"29",26.906343948222
"30",21.3961909028745
"31",25.2900286149584
"32",29.7219732516244
"33",87.2773069292161
"34",53.0309852225053
"35",22.5392881614213
"36",101.653925761776
"37",16.6689535179498
"38",30.4504737951791
"39",33.2219484552525
"40",127.043478868711
"41",75.0179213203855
"42",44.4865865823616
"43",54.1690726839398
"44",70.6531913543146
"45",20.3816424816565
"46",29.9626707385394
"47",101.868078869188
"48",30.7955314767025
"49",104.816534849597
"50",16.8706881368813
"51",36.971304897487
"52",34.2343041009917
"53",66.7146884932104
"54",134.126507220423
"55",58.3233461237537
"56",46.9027448191951
"57",21.3684171640866
"58",44.5893350341315
"59",45.352894367703
"60",45.2381712111267
"61",82.9347828047889
"62",44.9322295962242
"63",56.9012973683825
"64",80.2559303294412
"65",74.7361165229434
"66",26.7472108452473
"67",38.4513255326976
"68",23.8845658674768
"69",49.4280845173774
"70",101.918182852772
"71",42.8640374617969
"72",67.3598544753886
"73",30.5568826311284
"74",41.0513087274858
"75",31.5122757962116
"76",46.9336553042601
"77",30.126682047604
"78",29.9466765544706
"79",61.0856765984066
"80",158.318872142923
"81",55.5530336577395
"82",30.5328247194741
"83",41.4617565508272
"84",35.2836088147957
"85",87.9960026884423
"86",35.9727660223302
"87",33.044308503858
"88",43.8447262706014
"89",54.9058040676847
"90",44.8937798908337
"91",33.083994005784
"92",23.8774639024353
"93",15.5346576161124
"94",37.2897379815899
"95",64.3668440526223
"96",97.8106908686505
"97",22.0303844386929
"98",69.9281937999221
"99",31.4197835470915
"100",54.3737925955181
"101",94.3775692648841
"102",104.517450903453
"103",61.6855019708436
"104",57.6915174377195
"105",60.8302773186605
"106",127.748763193224
"107",36.7484092989949
"108",162.134966801437
"109",55.6923780587371
"110",40.5825788610162
"111",39.4787914670172
"112",47.5033960365289
"113",43.1947262706014
"114",76.9974896136131
"115",47.4661553269197
"116",76.5897015356895
"117",28.0235715144319
"118",57.5819561729285
"119",27.2079643904981
"120",36.4856904558667
"121",56.7591515701902
"122",63.5542912851005
"123",70.7293202681085
"124",84.8328706543549
"125",59.9402427377438
"126",78.6501368845036
"127",28.9097064761655
"128",54.8098169703992
"129",39.0247764389122
"130",159.492790393643
"131",18.4388440792269
"132",29.5018928355083
"133",47.3719353277326
"134",32.1371769253202
"135",38.9498781742104
"136",27.2592305170188
"137",27.3404403106691
"138",46.9767927279599
"139",55.5908988544294
"140",45.8063232459808
"141",75.8213546025035
"142",45.9523687905785
"143",148.669737826543
"144",59.435393679222
"145",73.9245947766741
"146",63.0327147725472
"147",49.8185570759328
"148",30.5388758974017
"149",76.675710665176
"150",39.3686552639428
"151",133.557388047121
"152",61.5151864174458
"153",70.6348183049725
"154",29.2800434729562
"155",40.1490922305784
"156",30.7197206592118
"157",37.7858651750609
"158",61.8465917933443
"159",38.4920122059955
"160",20.4928603842565
"161",113.864984284175
"162",95.3518544745201
"163",86.9970438633825
"164",48.3099928030083
"165",99.8282174402136
"166",33.2301662511902
"167",31.6095925713581
"168",119.955094999653
"169",43.271606333415
"170",30.0665880704348
"171",37.2365999447569
"172",16.6801321872862
"173",118.810799469252
"174",28.2131060430404
"175",39.8549976362293
"176",22.9179894397105
"177",77.824693971583
"178",47.4367873055334
"179",93.5818544745201
"180",37.8454118414981
"181",135.111862840018
"182",74.6112693994599
"183",57.497398398041
"184",81.3075132644132
"185",21.6374879909823
"186",58.6599462707902
"187",18.3537182612511
"188",31.3816015513625
"189",84.2091784769223
"190",16.7670193347683
"191",87.4763506158686
"192",49.6831138025026
"193",57.6478207249974
"194",19.3604983129363
"195",63.7550219252978
"196",39.4523425448984
"197",38.0420754421725
"198",67.155992844721
"199",88.570031772161
"200",126.602147329417
"201",33.4647550489921
"202",34.6268240245843
"203",62.5759851826859
"204",51.7590110681411
"205",20.475782987043
"206",98.4347691116859
"207",27.5717330217941
"208",59.4596902549389
"209",36.5159056374533
"210",75.0287648541991
"211",61.7587658754592
"212",60.3379623384976
"213",75.0504803149395
"214",19.2012601938864
"215",58.8188125936211
"216",92.6679106800583
"217",41.3252837591713
"218",43.3513155534817
"219",49.0008915640744
"220",99.3445474838302
"221",65.4089354932428
