"","V1"
"1",115.719318207628
"2",68.7672430524969
"3",78.3032690436717
"4",83.3057869575349
"5",138.162735210162
"6",119.431376297635
"7",87.0436972280497
"8",118.54946336789
"9",77.3208045239585
"10",186.230651968439
"11",89.517419120843
"12",75.7696262212338
"13",79.2889843168838
"14",91.034737525275
"15",75.0258945465297
"16",84.727007361854
"17",74.2435183501507
"18",75.5162116805735
"19",99.372698637473
"20",106.357406828652
"21",75.4699177251862
"22",152.35318296852
"23",83.6396546295163
"24",104.007547850698
"25",81.0168314750974
"26",91.7481472041339
"27",103.274445692879
"28",164.789238317859
"29",76.3011631895446
"30",76.3323742071192
"31",145.628156207921
"32",204.822040267588
"33",113.363480119559
"34",91.6514569633134
"35",111.016609394889
"36",78.6856455836421
"37",72.0314866180483
"38",85.7970140594173
"39",76.5024025022936
"40",96.5521201401175
"41",100.384060717418
"42",91.4630682078589
"43",71.6794133884856
"44",84.2206955172864
"45",86.2986497558791
"46",98.5934984801412
"47",100.405291973653
"48",105.106297075175
"49",72.9743823089097
"50",76.7521597047154
"51",84.3141799031228
"52",131.49982358055
"53",92.6090544847935
"54",74.2018143738681
"55",72.1913751388705
"56",94.5000058327314
"57",89.2156875041244
"58",117.001044373947
"59",107.330312681148
"60",74.4569217641962
"61",128.83582970935
"62",119.536390605034
"63",79.2390186001479
"64",87.2476777547232
"65",85.7973300787755
"66",89.2830193602789
"67",96.7699947614306
"68",121.097022182774
"69",120.131170071497
"70",104.63424826026
"71",131.4792910489
"72",65.1192617350461
"73",123.42059242019
"74",101.59493620546
"75",63.7573607996084
"76",80.9716665323504
"77",103.566635715498
"78",73.813822702778
"79",81.0584955295308
"80",106.005267855146
"81",136.430831132752
"82",124.729007310966
"83",77.6342597480668
"84",118.226397350618
"85",110.889929795079
"86",81.6258893062294
"87",138.044381007225
"88",95.8750789045192
"89",69.6666343928338
"90",86.5603720161876
"91",117.355352894577
"92",74.8763456157183
"93",95.6903137536969
"94",69.2527749680512
"95",76.9688080745336
"96",69.6422467958218
"97",136.227935702506
"98",78.369506463413
"99",85.600055092596
"100",118.993430119442
"101",110.239222058231
"102",127.346785881074
"103",130.792110451217
"104",117.40968003252
"105",214.020866409838
"106",109.736823356458
"107",116.84654990282
"108",86.2074467283732
"109",75.8318988685691
"110",84.0975847000638
"111",126.376640087939
"112",86.8820474112277
"113",172.816628515158
"114",96.6273894039888
"115",123.592142155708
"116",87.4551631016821
"117",115.794741268763
"118",101.750194764392
"119",69.2359243951534
"120",78.0254600112718
"121",101.01356900988
"122",132.690480900748
"123",79.1847968922685
"124",65.7749874990211
"125",88.7378793284807
"126",84.3267630938704
"127",98.4749882065058
"128",187.936877190634
"129",135.033785967291
"130",98.2194727993489
"131",89.2894657065789
"132",71.2695005703881
"133",104.857773752764
"134",83.0076822779304
"135",97.4876444832055
"136",158.503137555873
"137",101.736787233705
"138",78.1554123328288
"139",119.363940825079
"140",69.5946506228314
"141",86.6921537883747
"142",103.115700425627
"143",75.1121330894179
"144",101.791168301551
"145",64.4670253232595
"146",113.153648422393
"147",87.5389872248937
"148",73.9548366370067
"149",146.640978139987
"150",77.1611111839579
"151",90.8180062844545
"152",137.027589416942
"153",84.4360622510452
"154",143.418966703571
"155",78.8109835938598
"156",100.587709480571
"157",80.4179444450551
"158",83.9300841264126
"159",66.8926972823734
"160",73.9225006929583
"161",74.7496458366604
"162",87.3104229271076
"163",75.5673565067604
"164",85.5611594515383
"165",93.8886663035636
"166",107.841699613926
"167",72.4138294163627
"168",76.3712337163945
"169",93.9180124379338
"170",104.806937635085
"171",73.3208155035908
"172",110.904447916894
"173",131.020897218693
"174",74.2557616229165
"175",66.4117352090645
"176",74.3970027223161
"177",83.1393966552661
"178",91.4527829511799
"179",75.9579276320256
"180",107.558779825007
"181",72.5588113246515
"182",74.9131362651931
"183",136.256835937707
"184",94.9771299360826
"185",99.2933864834702
"186",86.5788972914032
"187",79.0300444173221
"188",95.1942824507215
"189",111.890217855813
"190",77.0517228765884
"191",82.1801372378903
"192",87.1438233956415
"193",95.0383799383536
"194",103.167031457287
"195",95.7909798347943
"196",71.8084903254302
"197",135.498480310011
"198",121.753391820496
"199",67.3180689783078
"200",102.295358598793
"201",66.8943300022683
"202",134.903403010859
"203",70.9147570527409
"204",107.966907152461
"205",75.3300616551874
"206",130.468143746219
"207",81.6962313899457
"208",86.965968897564
"209",141.340946759401
"210",108.9489119311
"211",75.0955673764161
"212",77.6320476367174
"213",111.866587909265
"214",72.268870504717
"215",88.5258661393092
"216",69.910191014322
"217",76.2537588036869
"218",120.102998533392
"219",83.7884660425366
"220",95.1199181609499
"221",83.5461221233235
"222",58.0249890113182
"223",76.7007528896996
"224",57.6659548962674
