"","x"
"472",48.8
"473",43
"474",32.6
"475",19.6
"476",26.4
"477",22.5
"478",51.3
"479",86.3
"480",49
"481",18.8
"482",34.3
"483",90.5
"484",38.9
"485",37.2
"486",43.3
"487",54.4
"488",62
"489",71.7
"490",38.6
"491",28.4
"492",67.7
"493",40.6
"494",39.2
"495",58.1
"496",67.5
"497",60.6
"498",32.7
"499",22.6
"500",45.4
"501",62.1
"502",64.9
"503",59.8
"504",25.3
"505",22
"506",66.8
"507",60.5
"508",32.9
"509",67
"510",24.1
"511",9.8
"512",50
"513",39.7
"514",56.9
"515",96.8
"516",75.3
"517",44.3
"518",26.5
"519",59.6
"520",45.3
"521",117.9
"522",13.5
"523",31.1
"524",21.8
"525",35.1
"526",110
"527",35.1
"528",20.7
"529",29.6
"530",25.4
"531",22.8
"532",12.1
"533",41.4
"534",40.5
"535",35.8
"536",23.3
"537",62.6
"538",21.9
"539",11.5
"540",66.9
"541",32.5
"542",108.5
"543",11.9
"544",16.6
"545",33.2
"546",37.8
"547",31.8
"548",52.6
"549",14.9
"550",67.3
"551",16.6
"552",40
"553",32
"554",39.1
"555",99.1
"556",54
"557",41.2
"558",75.4
"559",47.5
"560",102.3
"561",42.2
"562",49.3
"563",33.3
"564",46.3
"565",28.3
"566",106.4
"567",55.6
"568",15.7
"569",11.6
"570",17.8
"571",16.1
"572",62.1
"573",53.9
"574",49.2
"575",61.8
"576",23.8
"577",41.9
"578",49.7
"579",34
"580",33.3
"581",42.6
"582",25.1
"583",47.6
"584",121.6
"585",33.9
"586",45.8
"587",32.8
"588",25.7
"589",51.8
"590",36.2
"591",18.3
"592",11.3
"593",22.6
"594",36.2
"595",96.6
"596",45
"597",51.4
"598",47.2
"599",112.4
"600",52.4
"601",82.2
"602",7.3
"603",12.3
"604",16.6
"605",16.9
"606",35.7
"607",23.9
"608",46.3
"609",11.7
"610",65.1
"611",98.3
"612",58.5
"613",45.9
"614",40.8
"615",36
"616",21.6
"617",21.2
"618",29.7
"619",61.7
"620",85.6
"621",20.9
"622",24
"623",29.6
"624",13.6
"625",26.7
"626",25.6
"627",105.6
"628",43.4
"629",27.7
"630",20.9
"631",35.8
"632",40.8
"633",32.8
"634",42.3
"635",57.7
"636",77.6
"637",14.1
"638",42.4
"639",37.7
"640",25.7
"641",76.3
"642",121.4
"643",26.6
"644",36.2
"645",39.5
"646",47.3
"647",80.2
"648",20.6
"649",18.5
"650",103.5
"651",20.1
"652",83
"653",17.8
"654",94.5
"655",55.4
"656",29.3
"657",98.6
"658",100.4
"659",46.9
"660",20.8
"661",167.2
"662",56.4
"663",78.3
"664",24.8
"665",70.1
"666",35.1
"667",39.2
"668",32.8
"669",25.5
"670",29.5
"671",20.4
"672",9.3
"673",33.2
"674",21.9
"675",15.8
"676",91.8
"677",95.2
"678",78.3
"679",68.9
"680",97.2
"681",41
"682",27.4
"683",51.3
"684",60.8
"685",41.3
"686",45.6
"687",65.6
"688",94.7
"689",61.4
"690",56.2
"691",77.1
"692",31.2
"693",69.7
"694",48.5
"695",14.6
"696",38.6
"697",70.3
"698",77.4
"699",29.9
"700",59.1
"701",19.5
"702",58.2
"703",30
"704",67.6
"705",100.3
"706",67
"707",66.6
"708",35.4
"709",17.1
"710",28.1
"711",31.8
"712",146.3
"713",35.2
"714",72.5
"715",59.7
"716",77.4
"717",63.2
"718",23
"719",28
"720",12.9
"721",13.5
"722",35.1
"723",70.3
"724",21.5
"725",77.1
