"","x"
"1",35.7
"2",52
"3",34.7
"4",30.8
"5",34.1
"6",22.2
"7",30.8
"8",10.1
"9",54.4
"10",56.1
"11",42.6
"12",20
"13",31.1
"14",39.7
"15",30.9
"16",32.6
"17",35.7
"18",49.4
"19",87.2
"20",72.8
"21",34.3
"22",46.5
"23",53.4
"24",29.6
"25",75.8
"26",17.9
"27",21.3
"28",97.3
"29",20.7
"30",21.5
"31",46.1
"32",25.9
"33",21.2
"34",59.4
"35",49
"36",21.8
"37",55.9
"38",26.9
"39",41.7
"40",47.1
"41",43
"42",23.1
"43",19.9
"44",16.5
"45",147.8
"46",29.9
"47",50.7
"48",42.1
"49",50.7
"50",42.2
"51",85.2
"52",43.5
"53",84.1
"54",77.5
"55",28.7
"56",37
"57",24.9
"58",48.4
"59",36.1
"60",85.8
"61",34.9
"62",22
"63",9.9
"64",66.7
"65",40.1
"66",34.1
"67",39
"68",35.8
"69",54.1
"70",24.3
"71",102.5
"72",18.4
"73",40.2
"74",34
"75",58.1
"76",57.3
"77",27.2
"78",73.4
"79",25.3
"80",35.1
"81",91.7
"82",63
"83",61.9
"84",52
"85",60.4
"86",19.1
"87",108.7
"88",42.2
"89",73
"90",27
"91",39.6
"92",16.7
"93",55.3
"94",38.6
"95",135.3
"96",43.1
"97",68.2
"98",84
"99",32.6
"100",32.1
"101",55.1
"102",26.6
"103",31.8
"104",45.5
"105",58
"106",15.6
"107",48.3
"108",94.5
"109",42.4
"110",13.1
"111",36.4
"112",75.4
"113",68.6
"114",54.6
"115",12.8
"116",28.9
"117",22.9
"118",78.6
"119",36.1
"120",26.2
"121",60.3
"122",36.5
"123",43.8
"124",24
"125",72.9
"126",36.4
"127",128.1
"128",77.9
"129",88
"130",45.5
"131",29
"132",41.5
"133",46.6
"134",102.3
"135",50.8
"136",72.6
"137",101.1
"138",43
"139",33.3
"140",79.7
"141",63.8
"142",54.5
"143",53.9
"144",57.8
"145",22.2
"146",39
"147",120
"148",72.2
"149",50.6
"150",46.9
"151",147.1
"152",86.9
"153",83.9
"154",25.9
"155",57.6
"156",49.3
"157",49.5
"158",22.2
"159",62.1
"160",87.9
"161",46.3
"162",37.9
"163",112.5
"164",65.2
"165",76.7
"166",60.4
"167",49.3
"168",22.7
"169",45.3
"170",49
"171",50.1
"172",20.5
"173",39.6
"174",47.9
"175",45.7
"176",62.4
