"","x"
"1",1
"2",0.841326379267061
"3",1.07582956328725
"4",1.08096636420096
"5",1.0257301792622
"6",1.14685672716536
"7",1.15636768995357
"8",1.17977798050421
"9",1.26896039402566
"10",1.00507523823396
"11",1.52666413750312
"12",1.84386966880947
"13",1.77976829592281
"14",1.31407429077825
"15",1.08255645938431
"16",1.06067405501979
"17",1.63404652066939
"18",1.58972320645155
"19",2.03498575029348
"20",2.45152144115706
"21",2.52288006685559
"22",3.11410040644734
"23",3.48019767573277
"24",2.23946330854337
"25",2.81557174170224
"26",4.6252605851857
"27",4.60048947341325
"28",2.60826130252085
"29",3.42619053064797
"30",3.7994391891468
"31",3.0560474967175
"32",4.16135030226103
"33",2.97037823266546
"34",3.32774758516404
"35",3.46889887828028
"36",3.866384592403
"37",4.42426967316682
"38",3.87150122220479
"39",5.6627617585711
"40",6.71484762486655
"41",7.34595085093841
"42",7.73003404937371
"43",8.25089617073268
"44",6.42644018780481
"45",5.85948677627453
"46",4.47466992229932
"47",5.23039716909591
"48",5.61286282202925
"49",6.15918067518199
"50",5.13270983103913
"51",4.70840705862161
"52",4.74223423936779
"53",6.11664472350717
"54",5.0494235963063
"55",4.06099578628235
"56",5.57175951630464
"57",6.85101771660146
"58",7.1004209790731
"59",8.33043019953729
"60",8.6856528624076
"61",8.66651169976117
"62",6.41268425316626
"63",5.68975880945741
"64",5.8718679646892
"65",8.33116760430694
"66",10.0543183000469
"67",8.50364726252964
"68",8.02277995515739
"69",9.27128621824762
"70",6.52116826442327
"71",2.26483871467844
"72",2.13869383519435
"73",3.14854476149097
"74",4.70977962662801
"75",4.53951989913173
"76",2.93341245237616
"77",2.30774266228092
"78",3.03602061068752
"79",1.31029914409825
"80",2.33349734551825
"81",2.40987810763731
"82",1.86950149028884
"83",2.12526212926201
"84",0.619074524817992
"85",0.855081174894187
"86",1.41188907398295
"87",1.07631805752008
"88",0
"89",0.988606908957634
"90",0.266205209170285
"91",0.292452433559747
"92",0
"93",0
"94",0.361879092929645
"95",0.467676032296354
"96",1.46535224559554
"97",0.252993870118729
"98",0
"99",0
"100",0
"101",0
"102",0.905158456826875
"103",0.607887493345359
"104",0
